Date,Sensor Glucose (mmol/L),
09/01/2022 01:57,16,
09/01/2022 02:02,16.1,
09/01/2022 02:07,15.8,
09/01/2022 02:12,15.2,
09/01/2022 02:17,15,
09/01/2022 02:22,14.9,
09/01/2022 02:27,15,
09/01/2022 02:32,15.3,
09/01/2022 02:37,15.3,
09/01/2022 02:42,15.2,
09/01/2022 02:47,15.2,
09/01/2022 02:52,15.4,
09/01/2022 02:57,15.5,
09/01/2022 03:02,15.6,
09/01/2022 03:07,15.5,
09/01/2022 03:12,15.4,
09/01/2022 03:17,14.9,
09/01/2022 03:22,14.2,
09/01/2022 03:27,14.1,
09/01/2022 03:32,14.2,
09/01/2022 03:37,14.5,
09/01/2022 03:42,14.7,
09/01/2022 03:47,14.6,
09/01/2022 03:52,14.7,
09/01/2022 03:57,14.7,
09/01/2022 04:02,14.9,
09/01/2022 04:07,15.1,
09/01/2022 04:12,15.2,
09/01/2022 04:17,15.3,
09/01/2022 04:22,15.2,
09/01/2022 04:27,15.2,
09/01/2022 04:32,15.2,
09/01/2022 04:37,15.4,
09/01/2022 04:42,15.6,
09/01/2022 04:47,15.9,
09/01/2022 04:52,16.1,
09/01/2022 04:57,16.3,
09/01/2022 05:02,16,
09/01/2022 05:07,15.3,
09/01/2022 05:12,14.5,
09/01/2022 05:17,14.4,
09/01/2022 05:22,14.8,
09/01/2022 05:27,15,
09/01/2022 05:32,15.1,
09/01/2022 05:37,14.9,
09/01/2022 05:42,14.3,
09/01/2022 05:47,14.2,
09/01/2022 05:52,14,
09/01/2022 05:57,13.8,
09/01/2022 06:02,13.5,
09/01/2022 06:07,13.1,
09/01/2022 06:12,12.7,
09/01/2022 06:17,12.3,
09/01/2022 06:22,11.9,
09/01/2022 06:27,11.5,
09/01/2022 06:32,11.2,
09/01/2022 06:37,10.9,
09/01/2022 06:42,10.5,
09/01/2022 06:47,8.5,
09/01/2022 06:52,8.3,
09/01/2022 06:57,8,
09/01/2022 07:02,7.7,
09/01/2022 07:07,7.1,
09/01/2022 07:12,6.7,
09/01/2022 07:27,6.3,
09/01/2022 07:32,5.9,
09/01/2022 07:37,5.8,
09/01/2022 07:42,5.7,
09/01/2022 07:47,5.7,
09/01/2022 07:52,5.5,
09/01/2022 07:57,5.5,
09/01/2022 08:02,5.7,
09/01/2022 08:07,6,
09/01/2022 08:12,6.6,
09/01/2022 08:17,7.3,
09/01/2022 08:22,7.6,
09/01/2022 08:27,7.6,
09/01/2022 08:32,7.5,
09/01/2022 08:37,7.2,
09/01/2022 08:42,6.9,
09/01/2022 08:47,6.3,
09/01/2022 08:52,5.7,
09/01/2022 08:57,5.4,
09/01/2022 09:02,5.4,
09/01/2022 09:07,5.9,
09/01/2022 09:12,6.5,
09/01/2022 09:17,7.7,
09/01/2022 09:22,8.4,
09/01/2022 09:27,9.5,
09/01/2022 09:32,10,
09/01/2022 09:37,10.3,
09/01/2022 09:42,10.7,
09/01/2022 09:47,10.3,
09/01/2022 09:52,10.3,
09/01/2022 10:02,9.4,
09/01/2022 10:07,8.8,
09/01/2022 10:12,8.4,
09/01/2022 10:22,8.2,
09/01/2022 10:27,7.3,
09/01/2022 10:27,7.7,
09/01/2022 10:37,6.8,
09/01/2022 10:42,6.5,
09/01/2022 10:47,6.4,
09/01/2022 10:52,6.4,
09/01/2022 11:02,6.4,
09/01/2022 11:07,6.4,
09/01/2022 11:12,6.6,
09/01/2022 11:17,6.9,
09/01/2022 11:22,7.7,
09/01/2022 11:27,8.4,
09/01/2022 11:32,8.9,
09/01/2022 11:37,9.5,
09/01/2022 11:42,10.2,
09/01/2022 11:47,10.7,
09/01/2022 11:52,11.2,
09/01/2022 11:57,11.7,
09/01/2022 12:02,12.4,
09/01/2022 12:07,12.8,
09/01/2022 12:12,12.6,
09/01/2022 12:17,12.8,
09/01/2022 12:22,13.4,
09/01/2022 12:27,13.7,
09/01/2022 12:32,13.9,
09/01/2022 12:37,13.5,
